"Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
10,4,73,12,1.474,"35-39"
10,4,139,24,1.937,">43"
10,4,77,13,1.516,"35-39"
10,4,98,20,1.768,"40-43"
10,4,69,12,1.474,"35-39"
10,4,91,18,1.726,"40-43"
10,4,119,24,1.937,">43"
10,4,109,22,1.853,">43"
10,4,103,21,1.811,"40-43"
10,4,99,20,1.768,"40-43"
10,4,108,21,1.811,"40-43"
10,4,57,11,1.432,"30-34"
10,4,97,15,1.6,"35-39"
10,4,81,12,1.474,"35-39"
10,4,106,20,1.768,"40-43"
10,4,124,24,1.937,">43"
10,4,86,18,1.726,"40-43"
10,4,86,20,1.768,"40-43"
10,4,66,10,1.389,"30-34"
10,4,82,14,1.558,"35-39"
10,7,105,18,1.726,"40-43"
10,7,66,16,1.642,"35-39"
10,7,97,18,1.726,"40-43"
10,7,59,10,1.389,"30-34"
10,7,108,21,1.811,"40-43"
10,7,109,18,1.726,"40-43"
10,7,115,22,1.853,">43"
10,7,112,20,1.768,"40-43"
10,7,69,12,1.474,"35-39"
10,7,80,16,1.642,"35-39"
10,7,103,20,1.768,"40-43"
10,7,104,23,1.895,">43"
10,7,119,23,1.895,">43"
10,7,126,21,1.811,"40-43"
10,7,74,12,1.474,"35-39"
10,7,107,20,1.768,"40-43"
10,7,120,20,1.768,"40-43"
10,7,111,18,1.726,"40-43"
10,7,54,9,1.347,"30-34"
10,7,109,23,1.895,">43"
10,7,127,23,1.895,">43"
10,7,99,18,1.726,"40-43"
10,7,90,18,1.726,"40-43"
10,7,103,21,1.811,"40-43"
10,7,165,25,1.979,">43"
10,7,83,14,1.558,"35-39"
10,7,121,24,1.937,">43"
10,7,80,15,1.6,"35-39"
10,7,83,16,1.642,"35-39"
10,7,111,21,1.811,"40-43"
10,7,110,21,1.811,"40-43"
10,7,69,12,1.474,"35-39"
10,7,125,21,1.811,"40-43"
10,7,104,18,1.726,"40-43"
10,7,117,22,1.853,">43"
10,10,123,22,1.853,">43"
10,10,114,23,1.895,">43"
10,10,132,23,1.895,">43"
10,10,112,22,1.853,">43"
10,10,104,18,1.726,"40-43"
10,10,100,22,1.853,">43"
10,10,72,20,1.768,"40-43"
10,10,88,20,1.768,"40-43"
10,10,57,15,1.6,"35-39"
10,10,82,20,1.768,"40-43"
10,10,79,17,1.684,"40-43"
10,10,83,21,1.811,"40-43"
10,10,68,14,1.558,"35-39"
10,10,111,24,1.937,">43"
10,10,68,12,1.474,"35-39"
10,10,105,16,1.642,"35-39"
10,10,98,16,1.642,"35-39"
10,10,99,18,1.726,"40-43"
10,10,145,23,1.895,">43"
10,10,97,20,1.768,"40-43"
10,10,133,20,1.768,"40-43"
10,10,93,21,1.811,"40-43"
10,10,121,23,1.895,">43"
11,1,70,14,1.558,"35-39"
11,1,81,17,1.684,"40-43"
11,1,127,24,1.937,">43"
11,1,110,21,1.811,"40-43"
11,1,61,7,1.263,"30-34"
11,1,144,24,1.937,">43"
11,1,150,17,1.684,"40-43"
11,1,94,17,1.684,"40-43"
11,1,136,17,1.684,"40-43"
11,1,176,20,1.768,"40-43"
11,1,39,3,1.095,"<30"
11,1,91,14,1.558,"35-39"
11,1,152,20,1.768,"40-43"
11,1,39,4,1.137,"<30"
11,1,93,15,1.6,"35-39"
11,1,71,10,1.389,"30-34"
11,1,90,16,1.642,"35-39"
11,1,114,21,1.811,"40-43"
11,1,40,3,1.095,"<30"
11,1,145,23,1.895,">43"
11,1,40,5,1.179,"<30"
11,1,126,23,1.895,">43"
11,1,106,17,1.684,"40-43"
11,4,84,14,1.558,"35-39"
11,4,72,17,1.684,"40-43"
11,4,122,23,1.895,">43"
11,4,119,25,1.979,">43"
11,4,65,13,1.516,"35-39"
11,4,69,14,1.558,"35-39"
11,4,106,18,1.726,"40-43"
11,4,89,15,1.6,"35-39"
11,4,93,17,1.684,"40-43"
11,4,96,17,1.684,"40-43"
11,4,99,20,1.768,"40-43"
11,4,95,18,1.726,"40-43"
11,4,109,22,1.853,">43"
11,4,82,16,1.642,"35-39"
11,4,94,15,1.6,"35-39"
11,4,106,15,1.6,"35-39"
11,4,120,18,1.726,"40-43"
11,4,29,2,1.053,"<30"
11,4,109,17,1.684,"40-43"
11,4,95,20,1.768,"40-43"
11,4,66,12,1.474,"35-39"
11,4,43,3,1.095,"<30"
11,4,81,17,1.684,"40-43"
11,4,48,9,1.347,"30-34"
11,4,45,8,1.305,"30-34"
11,7,102,18,1.726,"40-43"
11,7,130,20,1.768,"40-43"
11,7,104,20,1.768,"40-43"
11,7,104,23,1.895,">43"
11,7,99,15,1.6,"35-39"
11,7,92,20,1.768,"40-43"
11,7,79,14,1.558,"35-39"
11,7,66,12,1.474,"35-39"
11,7,123,24,1.937,">43"
11,7,76,17,1.684,"40-43"
11,7,52,11,1.432,"30-34"
11,7,67,12,1.474,"35-39"
11,7,110,21,1.811,"40-43"
11,7,74,15,1.6,"35-39"
11,7,59,14,1.558,"35-39"
11,7,91,20,1.768,"40-43"
11,7,54,14,1.558,"35-39"
11,7,112,18,1.726,"40-43"
11,7,127,23,1.895,">43"
11,7,107,23,1.895,">43"
11,7,115,24,1.937,">43"
11,7,90,20,1.768,"40-43"
11,7,56,11,1.432,"30-34"
11,7,137,24,1.937,">43"
11,7,106,22,1.853,">43"
11,10,53,10,1.389,"30-34"
11,10,89,17,1.684,"40-43"
11,10,95,18,1.726,"40-43"
11,10,78,14,1.558,"35-39"
11,10,50,10,1.389,"30-34"
11,10,52,10,1.389,"30-34"
11,10,90,18,1.726,"40-43"
11,10,136,23,1.895,">43"
11,10,100,18,1.726,"40-43"
11,10,116,18,1.726,"40-43"
11,10,38,5,1.179,"<30"
11,10,113,23,1.895,">43"
11,10,89,15,1.6,"35-39"
11,10,48,9,1.347,"30-34"
11,10,106,20,1.768,"40-43"
11,10,108,18,1.726,"40-43"
11,10,86,14,1.558,"35-39"
11,10,110,20,1.768,"40-43"
11,10,90,15,1.6,"35-39"
11,10,94,17,1.684,"40-43"
11,10,28,3,1.095,"<30"
11,10,116,24,1.937,">43"
11,10,78,15,1.6,"35-39"
11,10,116,18,1.726,"40-43"
11,10,70,12,1.474,"35-39"
11,10,99,15,1.6,"35-39"
11,10,118,21,1.811,"40-43"
11,10,103,18,1.726,"40-43"
11,10,114,24,1.937,">43"
11,10,98,21,1.811,"40-43"
11,10,61,12,1.474,"35-39"
11,10,77,14,1.558,"35-39"
11,10,53,9,1.347,"30-34"
11,10,132,23,1.895,">43"
11,10,98,20,1.768,"40-43"
1,0,163,24,1.937,">43"
1,0,102,16,1.642,"35-39"
1,0,144,26,2.021,">43"
1,0,115,21,1.811,"40-43"
1,0,108,21,1.811,"40-43"
1,0,68,11,1.432,"30-34"
1,0,107,20,1.768,"40-43"
1,0,141,20,1.768,"40-43"
1,0,111,20,1.768,"40-43"
1,0,55,9,1.347,"30-34"
1,0,112,20,1.768,"40-43"
1,0,100,16,1.642,"35-39"
2,0,116,21,1.811,"40-43"
2,0,71,12,1.474,"35-39"
2,0,146,24,1.937,">43"
2,0,119,23,1.895,">43"
2,0,97,20,1.768,"40-43"
2,0,43,7,1.263,"30-34"
2,0,127,23,1.895,">43"
2,0,106,21,1.811,"40-43"
2,0,79,12,1.474,"35-39"
2,0,127,23,1.895,">43"
2,0,114,22,1.853,">43"
2,0,85,17,1.684,"40-43"
3,0,90,13,1.516,"35-39"
3,0,149,23,1.895,">43"
3,0,116,18,1.726,"40-43"
3,0,142,25,1.979,">43"
3,0,90,14,1.558,"35-39"
3,0,73,14,1.558,"35-39"
3,0,151,23,1.895,">43"
3,0,135,21,1.811,"40-43"
3,0,90,18,1.726,"40-43"
3,0,81,16,1.642,"35-39"
3,0,64,11,1.432,"30-34"
3,0,54,6,1.221,"<30"
4,0,56,8,1.305,"30-34"
4,0,75,15,1.6,"35-39"
4,0,139,24,1.937,">43"
4,0,127,25,1.979,">43"
4,0,96,14,1.558,"35-39"
4,0,52,10,1.389,"30-34"
4,0,94,23,1.895,">43"
4,0,99,22,1.853,">43"
4,0,117,23,1.895,">43"
4,0,103,22,1.853,">43"
4,0,80,16,1.642,"35-39"
6,0,130,21,1.811,"40-43"
6,0,102,17,1.684,"40-43"
6,0,106,21,1.811,"40-43"
6,0,38,4,1.137,"<30"
6,0,49,8,1.305,"30-34"
6,0,120,18,1.726,"40-43"
6,0,113,21,1.811,"40-43"
6,0,65,13,1.516,"35-39"
6,0,126,23,1.895,">43"
6,0,91,16,1.642,"35-39"
6,0,82,14,1.558,"35-39"
6,0,158,26,2.021,">43"
7,0,122,24,1.937,">43"
7,0,56,10,1.389,"30-34"
7,0,144,23,1.895,">43"
7,0,74,17,1.684,"40-43"
7,0,112,23,1.895,">43"
7,0,53,7,1.263,"30-34"
7,0,104,21,1.811,"40-43"
7,0,72,15,1.6,"35-39"
7,0,106,17,1.684,"40-43"
7,0,92,20,1.768,"40-43"
7,0,98,23,1.895,">43"
7,0,47,7,1.263,"30-34"
8,0,106,22,1.853,">43"
8,0,80,16,1.642,"35-39"
8,0,121,26,2.021,">43"
8,0,75,14,1.558,"35-39"
8,0,83,18,1.726,"40-43"
8,0,53,9,1.347,"30-34"
8,0,108,23,1.895,">43"
8,0,41,4,1.137,"<30"
8,0,117,24,1.937,">43"
8,0,41,7,1.263,"30-34"
8,0,127,25,1.979,">43"
8,0,90,17,1.684,"40-43"
9,0,136,24,1.937,">43"
9,0,86,16,1.642,"35-39"
9,0,91,18,1.726,"40-43"
9,0,77,13,1.516,"35-39"
9,0,126,22,1.853,">43"
9,0,64,10,1.389,"30-34"
9,0,131,26,2.021,">43"
9,0,48,7,1.263,"30-34"
9,0,147,23,1.895,">43"
9,0,70,10,1.389,"30-34"
9,0,161,23,1.895,">43"
9,0,29,2,1.053,"<30"
10,0,90,17,1.684,"40-43"
10,0,122,24,1.937,">43"
10,0,113,22,1.853,">43"
10,0,47,7,1.263,"30-34"
10,0,125,23,1.895,">43"
10,0,88,17,1.684,"40-43"
10,0,122,21,1.811,"40-43"
10,0,80,14,1.558,"35-39"
10,0,113,25,1.979,">43"
10,0,44,8,1.305,"30-34"
10,0,86,15,1.6,"35-39"
10,0,32,3,1.095,"<30"
11,0,123,23,1.895,">43"
11,0,88,18,1.726,"40-43"
11,0,153,24,1.937,">43"
11,0,83,18,1.726,"40-43"
11,0,112,22,1.853,">43"
11,0,34,6,1.221,"<30"
11,0,107,22,1.853,">43"
11,0,56,11,1.432,"30-34"
11,0,121,23,1.895,">43"
11,0,53,10,1.389,"30-34"
11,0,189,22,1.853,">43"
11,0,75,16,1.642,"35-39"
5,0,132,25,1.979,">43"
5,0,64,14,1.558,"35-39"
5,0,109,18,1.726,"40-43"
5,0,59,10,1.389,"30-34"
5,0,120,20,1.768,"40-43"
5,0,56,14,1.558,"35-39"
5,0,189,26,2.021,">43"
5,0,95,16,1.642,"35-39"
5,0,135,25,1.979,">43"
5,0,110,18,1.726,"40-43"
5,0,147,24,1.937,">43"
5,0,135,18,1.726,"40-43"
5,1,159,23,1.895,">43"
5,1,61,12,1.474,"35-39"
5,1,130,20,1.768,"40-43"
5,1,136,20,1.768,"40-43"
5,1,120,20,1.768,"40-43"
5,1,107,21,1.811,"40-43"
5,1,77,14,1.558,"35-39"
5,1,114,20,1.768,"40-43"
5,1,119,22,1.853,">43"
5,1,76,15,1.6,"35-39"
5,1,120,21,1.811,"40-43"
5,1,106,17,1.684,"40-43"
5,1,118,21,1.811,"40-43"
5,1,73,13,1.516,"35-39"
5,1,122,21,1.811,"40-43"
5,1,86,16,1.642,"35-39"
5,1,85,16,1.642,"35-39"
5,1,97,21,1.811,"40-43"
5,1,91,14,1.558,"35-39"
5,1,111,20,1.768,"40-43"
5,1,118,23,1.895,">43"
5,1,74,13,1.516,"35-39"
5,1,104,21,1.811,"40-43"
5,1,130,22,1.853,">43"
5,1,87,13,1.516,"35-39"
5,1,83,17,1.684,"40-43"
5,1,72,14,1.558,"35-39"
5,1,145,23,1.895,">43"
5,4,42,5,1.179,"<30"
5,4,44,7,1.263,"30-34"
5,4,103,17,1.684,"40-43"
5,4,50,9,1.347,"30-34"
5,4,28,6,1.221,"<30"
5,4,108,23,1.895,">43"
5,4,118,20,1.768,"40-43"
5,4,97,16,1.642,"35-39"
5,4,96,16,1.642,"35-39"
5,4,34,5,1.179,"<30"
5,4,63,12,1.474,"35-39"
5,4,110,24,1.937,">43"
5,4,80,13,1.516,"35-39"
5,4,70,17,1.684,"40-43"
5,4,73,13,1.516,"35-39"
5,4,39,8,1.305,"30-34"
5,4,105,20,1.768,"40-43"
5,4,97,16,1.642,"35-39"
5,4,78,13,1.516,"35-39"
5,4,121,21,1.811,"40-43"
5,4,80,24,1.937,">43"
5,4,83,20,1.768,"40-43"
5,4,111,18,1.726,"40-43"
5,4,110,22,1.853,">43"
5,4,69,9,1.347,"30-34"
5,4,125,21,1.811,"40-43"
5,4,104,21,1.811,"40-43"
5,4,117,12,1.474,"35-39"
5,7,87,17,1.684,"40-43"
5,7,78,15,1.6,"35-39"
5,7,81,13,1.516,"35-39"
5,7,108,21,1.811,"40-43"
5,7,58,15,1.6,"35-39"
5,7,105,24,1.937,">43"
5,7,63,14,1.558,"35-39"
5,7,109,18,1.726,"40-43"
5,7,86,20,1.768,"40-43"
5,7,125,23,1.895,">43"
5,7,75,13,1.516,"35-39"
5,7,109,18,1.726,"40-43"
5,7,80,21,1.811,"40-43"
5,7,62,18,1.726,"40-43"
5,7,139,24,1.937,">43"
5,7,92,21,1.811,"40-43"
5,7,100,23,1.895,">43"
5,7,90,21,1.811,"40-43"
5,7,75,18,1.726,"40-43"
5,7,93,20,1.768,"40-43"
5,7,135,23,1.895,">43"
5,7,132,21,1.811,"40-43"
5,7,84,18,1.726,"40-43"
